Timestamp,Population
1.011407,40
2.017614,40
3.025508,40
4.029659,40
5.034292,40
6.035789,40
7.036578,40
8.038789,40
9.042329,40
10.04735,40
11.05424,40
12.05465,40
13.06111,40
14.0646,40
15.07715,40
16.0772,40
17.07908,40
18.08464,40
19.09164,40
20.09409,40
21.10146,40
22.1127,40
23.11861,40
24.11976,40
25.12349,40
26.1294,41
27.13764,41
28.13954,42
29.14144,45
30.14222,46
31.15127,48
32.1579,49
33.16731,51
34.17381,51
35.18196,51
36.19109,52
37.19296,52
38.19886,52
39.20919,52
40.21216,52
41.22335,56
42.24965,57
43.25385,57
44.25673,57
45.26981,57
46.28252,57
47.28941,57
48.29171,57
49.30508,58
50.30896,57
51.32075,58
52.32377,58
53.33966,58
54.3516,58
55.36316,58
56.36439,58
57.36697,58
58.37329,58
59.38351,59
60.38577,56
61.39872,56
62.40913,56
63.41872,57
64.42351,58
65.43108,58
66.43584,59
67.43972,59
68.44988,59
69.46129,60
70.47282,55
71.4807,55
72.4921,55
73.49633,56
74.52051,57
75.53291,49
76.54047,50
77.54935,50
78.55544,50
79.56492,51
80.57707,47
81.58019,47
82.59232,47
83.60494,46
84.61063,46
85.61395,47
86.61449,47
87.62336,47
88.63931,47
89.6411,48
90.64252,46
91.64773,45
92.65016,45
93.66044,46
94.66371,46
95.67156,46
96.68098,46
97.69051,47
98.69936,48
99.70095,48
100.7084,46
101.7142,45
102.7145,45
103.7224,46
104.7327,46
105.7344,45
106.7497,46
107.7582,46
108.7658,46
109.7726,46
110.7768,45
111.7784,45
112.7859,44
113.7868,44
114.7937,44
115.7954,45
116.7959,45
117.8027,46
118.8088,47
119.817,45
120.8295,45
121.8351,45
122.8354,45
123.841,44
124.8467,45
125.8555,45
126.86,45
127.8604,46
128.8692,46
129.8724,44
130.8812,45
131.8861,45
132.8902,44
133.8992,44
134.9072,46
135.9201,45
136.9318,45
137.9432,46
138.9551,45
139.9627,45
140.9693,45
141.9816,45
142.9852,45
143.988,45
144.9917,43
146.0039,44
147.0113,44
148.0183,44
149.0205,43
150.0278,42
151.0336,42
152.037,42
153.0505,43
154.06,43
155.0668,44
156.077,45
157.0854,45
158.0974,45
159.1103,48
160.1115,47
161.1168,47
162.1188,47
163.1293,47
164.1372,47
165.1445,47
166.1547,47
167.1578,46
168.1665,46
169.1721,47
170.1764,46
171.1785,47
172.1789,47
173.1855,48
174.1953,48
175.1968,48
176.2067,49
177.2119,49
178.2208,50
179.2284,50
180.2412,49
181.2429,49
182.2449,50
183.2509,51
184.2616,50
185.272,50
186.2789,49
187.2815,49
188.2835,51
189.2971,50
190.3073,50
191.3162,49
192.3192,49
193.3283,49
194.3359,49
195.3367,50
196.3411,50
197.3519,51
198.3545,51
199.3621,51
200.3733,50
201.3804,51
202.3894,52
203.3905,53
204.3966,54
205.3974,53
206.404,54
207.4155,55
208.4195,55
209.4235,55
210.4308,55
211.4326,57
212.4371,57
213.4464,57
214.4518,56
215.4587,56
216.4679,56
217.477,56
218.4822,57
219.4843,55
220.4895,57
221.4952,57
222.4997,57
223.5027,57
224.5076,57
225.5083,57
226.5137,55
227.5164,55
228.5197,55
229.5294,55
230.5371,54
231.5402,53
232.5406,53
233.5461,53
234.5524,53
235.5622,54
236.567,53
237.5711,54
238.5751,56
239.5853,55
240.5898,55
241.6004,55
242.6144,54
243.6234,53
244.629,53
245.6391,53
246.6632,53
247.6663,53
248.6734,53
249.6857,53
250.6953,52
251.7031,53
252.7166,53
253.7227,52
254.7352,53
255.7384,53
256.749,52
257.7534,50
258.7539,48
259.7565,48
260.7588,48
261.7707,49
262.7752,48
263.7787,49
264.7805,48
265.7939,48
266.8018,48
267.8098,48
268.8144,48
269.8381,48
270.8495,46
271.8628,46
272.87,46
273.8822,45
274.888,45
275.8925,45
276.9019,44
277.9105,45
278.9127,46
279.9215,45
280.9248,45
281.9391,46
282.946,46
283.9474,47
284.9666,48
285.9783,45
286.9817,44
287.99,44
288.9978,41
290.0032,41
291.0074,41
292.0194,40
293.0241,39
294.0338,39
295.0367,39
296.0435,38
297.046,38
298.0599,38
299.0706,37
300.0805,36
301.0844,34
302.0913,33
303.0918,33
304.1058,33
305.1129,31
306.1223,31
307.1314,31
308.1403,31
309.1428,30
310.154,31
311.1673,31
312.1771,31
313.186,30
314.1927,32
315.1958,32
316.1967,32
317.2079,32
318.2117,32
319.219,30
320.2217,30
321.2325,32
322.2381,31
323.2423,31
324.2548,31
325.2663,30
326.2748,30
327.2844,31
328.2898,30
329.2925,29
330.2961,29
331.3022,29
332.3052,29
333.3077,31
334.3123,31
335.332,31
336.3387,31
337.353,31
338.3543,31
339.3546,32
340.3587,32
341.3637,32
342.3708,31
343.3766,31
344.3804,31
345.3862,31
346.3887,32
347.403,33
348.4081,33
349.4214,33
350.4258,33
351.4272,33
352.4413,33
353.4461,33
354.4524,35
355.4591,35
356.4695,36
357.4753,35
358.4828,35
359.4844,34
360.4931,33
361.4983,33
362.5033,33
363.5065,33
364.5115,33
365.5144,32
366.5211,31
367.5246,31
368.5291,30
369.5364,29
370.5584,30
371.5631,29
372.5697,29
373.575,29
374.5828,29
375.5924,29
376.5981,29
377.6038,29
378.6089,29
379.6116,29
380.6122,29
381.617,29
382.621,29
383.6223,30
384.6258,30
385.6337,29
386.6413,30
387.6435,29
388.6445,29
389.6597,29
390.6618,29
391.6743,29
392.6767,29
393.6831,29
394.6865,29
395.691,29
396.6942,29
397.6989,29
398.7039,29
399.705,29
400.7052,29
401.7096,29
402.712,28
403.7208,26
404.7237,24
405.7264,24
406.7306,25
407.7347,25
408.7387,25
409.7408,25
410.7427,24
411.7588,24
412.7629,24
413.7661,24
414.7733,23
415.7791,23
416.7828,22
417.7846,22
418.7896,22
419.7947,22
420.796,23
421.8012,23
422.8253,23
423.8289,23
424.8337,23
425.838,23
426.8415,23
427.8445,23
428.8504,23
429.8579,23
430.8602,24
431.8632,24
432.8664,24
433.877,25
434.8803,25
435.8928,25
436.8965,24
437.9043,24
438.9097,24
439.9167,25
440.9256,24
441.9468,24
442.954,24
443.9588,25
444.9599,25
445.9601,25
446.9699,25
447.9717,26
448.9779,25
449.9838,25
450.9844,24
451.9883,24
452.9905,24
453.9986,24
454.9986,24
455.9993,24
